title,author,publishDate,publisher,isbn13
Atlas Shrugged,Ayn Rand,10-10-1957,Random House,9789872095109
Wings of Fire,A P J Abdul Kalam,23-01-1999,Universities Press,9788173711461
The Human Stain,Philip Roth,15-05-2000,Houghton Mifflin,9780618059458
Homegoing,Yaa Gyasi,07-06-2016,"Penguin Books, Limited, 2017",9780241242728
Swing Time,Zadie Smith,15-Nov-2016,"Penguin UK, 2016",9780241965306
The Underground Railroad,Colson Whitehead,06-10-2016,"Little, Brown Book Group Limited",9780708898390
Commonwealth ,Ann Patchett,13-09-2016,Bloomsbury Publisher,9781408880401
The Nest,Cynthia D'Aprix Sweeney,22-03-2016,Ecco,9780062414212
What Is Not Yours Is Not Yours,Helen Oyeyemi,08-03-2016,Riverhead Books,9781594634635
A Little Life,Hanya Yanagihara,10-03-2015,Doubleday,9780385539258
The Girl on the Train, Paula Hawkins,13-01-2015,Riverhead Books,9781594633669
The Buried Giant,Kazuo Ishiguro,03-03-2015,Knopf,9780307271037
All the Bright Places,Jennifer Niven,06-01-2015,Knopf,9780385755887
Fates and Furies,Lauren Groff,15-09-2015,Riverhead Books,9781594634475
The Fifth Season,N. K. Jemisin,04-08-2015,Orbit,9780316229296
Purity,Jonathan Franzen,01-09-2015,"Farrar, Straus and Giroux",9780374239213
Golden Son,Pierce Brown,06-01-2015,Del Rey,9780345539823
Red Queen,Victoria Aveyard,10-02-2015,HarperTeen,9780062310637
City on Fire,Garth Risk Hallberg,13-10-2015,Knopf,9780385353779
The Bone Clocks,David Mitchell,02-09-2015,Random House,9781400065677
We Were Liars,E. Lockhart,13-05-2014,Delacorte Press,9780385741262
The Paying Guests,Sarah Waters,16-09-2014,Riverhead Books,9781594633119
All the Light We Cannot See,Anthony Doerr,06-05-2014,Scribner,9781476746586
Station Eleven,Emily St. John Mandel,09-09-2014,Knopf,9780385353304
A Brief History of Seven Killings,Marlon James,02-10-2014,Riverhead Books,9781594486005
Redeployment,Phil Klay,04-03-2014,Penguin Press,9781594204999
Lila,Marilynne Robinson,07-10-2014,"Farrar, Straus and Giroux",9780374187613
Sunnyside,Glen David Gold,05-05-2009,Knopf,9780307270689
The Brief Wondrous Life of Oscar Wao,Junot Díaz,06-09-2007,Riverhead Books,9781594489587
Atonement,Ian McEwan,25-02-2003,Anchor Books,9780385721790
The Corrections,Jonathan Franzen,01-09-2001,"Farrar, Straus and Giroux",9781841156736
Gilead,Marilynne Robinson,10-01-2006,Picador,9780312424404
The Road,Cormac McCarthy,26-09-2006,Alfred A. Knopf,9780307265432
2666,Roberto Bolaño,28-02-2006,Anagrama,9788433968678
A Visit from the Goon Squad,Jennifer Egan,08-06-2010,Alfred A. Knopf,9780307592835
The Known World,Edward P. Jones,29-08-2006,HarperCollins,9780061159176
Austerlitz,W. G. Sebald,06-11-2001,Penguin Books Ltd,9780140297997
The Line of Beauty,Alan Hollinghurst,10-04-2004,Bloomsbury Publisher,9780739464465
Invisible Man,Ralph Ellison,25-09-1952,Random House,9780679601395
Harry Potter and the Philosopher's Stone,J. K. Rowling,26-06-1997,Bloomsbury Publisher,9780747532699
Harry Potter and the Chamber of Secrets,J. K. Rowling,02-07-1998,Bloomsbury Publisher,9780747538492
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,08-07-1999,Bloomsbury Publisher,9780747542155
Harry Potter and the Goblet of Fire,J. K. Rowling,08-07-2000,Bloomsbury Publisher,9780747546244
Harry Potter and the Order of the Phoenix,J. K. Rowling,21-06-2003,Bloomsbury Publisher,9780747551006
Harry Potter and the Deathly Hallows,J. K. Rowling,01-07-2007,Bloomsbury Publisher,9780545010225
The Lord of the Rings,J. R. R. Tolkien,29-07-1954,George Allen & Unwin,9780747551028
A Game of Thrones,George R. R. Martin,01-08-1996,Bantam Spectra ,9780553103547
The Magicians,Lev Grossman ,11-08-2009,Viking,9780670020553
Witches of East End,Melissa de la Cruz,21-06-2011,Disney-Hyperion,9781401323901
Living Dead in Dallas ,Charlaine Harris,01-04-2004,Orbit,9781841493008